Item_Item_Description,Item__No__,Item__Base_Unit_of_Measure_,Item_Inventory,Qty__on_Sales_Order_,Item__Qty__on_Purch__Order_,QtyAvailable,Av,Clifton,Clifton 8006,UB,UB Clifton,UB Clifton 8006,Total Sec + Clif,Total UB,Total
The Chocolate Lipstick 002 Toffee,1000668,EA,"4,550.00",-169.00,0.00,"4,381.00","4,381.",0.,0.,0.,0.,0.,"4,381.",0.,"4,381."
The Mauves Lipstick 002 2020,1000669,EA,"2,621.",-22.,0.,"2,599.","2,599.",0.,0.,0.,0.,0.,"2,599.",0.,"2,599."
The Mauves Lipstick 003 A Mauve Moment,1000670,EA,"2,852.00",-188.00,0.00,"2,664.00","2,664.",0.,0.,0.,0.,0.,"2,664.",0.,"2,664."
The Mauves Lipstick 001 Chic Lipstick,1000671,EA,"3,531.00",-317.00,0.00,"3,214.00","3,214.",0.,0.,0.,0.,0.,"3,214.",0.,"3,214."
The Mauves Lipstick 004 Kebi,1000672,EA,831.,-464.,0.,367.,367.,0.,0.,0.,0.,0.,367.,0.,367.
The Peaches Lipstick 002 In Vogue,1000673,EA,"7,345.",-16.,0.,"7,329.","7,329.","8,640.",0.,0.,0.,0.,"15,969.",0.,"15,969."
The Peaches Lipstick 003 Libra,1000674,EA,"4,414.00",-166.00,0.00,"4,248.00","4,248.",0.,0.,0.,0.,0.,"4,248.",0.,"4,248."
The Peaches Lipstick 001 Mademoiselle,1000675,EA,"4,271.",-164.,0.,"4,107.","4,107.","5,760.",0.,0.,0.,0.,"9,867.",0.,"9,867."
The Peaches Lipstick 004 Me,1000676,EA,"4,525.",-178.,0.,"4,347.","4,347.",0.,0.,0.,0.,0.,"4,347.",0.,"4,347."
Luxe Lip Liner - 001 Kola,1000699,EA,"41,715.",-961.,0.,"40,754.","40,754.",0.,0.,0.,0.,0.,"40,754.",0.,"40,754."
Luxe Lip Liner - 004 - Love Me,1000700,EA,"11,698.",-182.,0.,"11,516.","11,516.",0.,0.,0.,0.,0.,"11,516.",0.,"11,516."
Luxe Lip Liner - 006 - Lush,1000701,EA,"18,065.",-37.,0.,"18,028.","18,028.",0.,0.,0.,0.,0.,"18,028.",0.,"18,028."
Luxe Lip Liner - 002 - Scorpio,1000702,EA,"18,456.",-996.,"10,000.","27,460.","17,460.",0.,0.,0.,0.,0.,"17,460.",0.,"17,460."
Luxe Lip Liner - 003 - So Rare,1000703,EA,"12,917.",-34.,0.,"12,883.","12,883.",0.,0.,0.,0.,0.,"12,883.",0.,"12,883."
Luxe Lip Liner - 005 - Sweet Nothing,1000704,EA,"7,094.",-171.,0.,"6,923.","6,923.",0.,0.,0.,0.,0.,"6,923.",0.,"6,923."
5 Pan 900Pcs,1000717,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Juvias Place Gel Brightening Moisture Cream 30ml,1000730,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Empress - Madame,1000737,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nude Gloss - 001 Sis,1000739,EA,"2,200.",-14.,0.,"2,186.","2,186.",0.,0.,"5,175.",0.,0.,"2,186.","5,175.","7,361."
The Empress - Mina,1000741,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nude Gloss - 003 Kiss Me,1000742,EA,"4,772.",-27.,0.,"4,745.","4,745.",0.,0.,"5,175.",0.,0.,"4,745.","5,175.","9,920."
Nude Gloss - 004 Caramel Rose,1000743,EA,"5,216.",-152.,0.,"5,064.","5,064.",0.,0.,0.,0.,0.,"5,064.",0.,"5,064."
Nude Gloss - 005 Its Electric,1000744,EA,949.,-301.,0.,648.,648.,0.,0.,0.,0.,0.,648.,0.,648.
The Empress - Moro,1000747,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Empress - Taytu,1000752,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
